1429334935031,+AC0-1
1429352031705,0
1429358235966,0
1429363757079,0
1429366447562,0
1429377730199,+AC0-1
1429382753779,1
1429383796890,1
1429386298671,+AC0-1
1429387329377,0
1429387878265,0
1429389575070,0
1429392739489,0
1429408858231,+AC0-1
1429408876056,+AC0-1
1429408892867,+AC0-1
1429415918634,+AC0-1
1429417603119,1
1429430555377,1
1429431111537,0
1429440780731,+AC0-1
1429440852996,+AC0-1
1429443562531,0
1429445944882,0
1429446307404,1
1429447693262,0
1429454979985,0
1429456792557,1
1429456852521,1
1429464125937,1
1429464472034,1
1429465368374,+AC0-1
1429466734298,0
1429469641583,0
1429470225564,0
1429471016453,1
1429471302976,0
1429474624186,0
1429475246956,+AC0-1
1429480928936,0
1429481059812,0
1429488989483,1
1429491315763,1
1429494539555,+AC0-1
1429499891853,1
1429513778303,1
1429519994109,1
1429521884834,+AC0-1
1429530637350,1
1429546900295,0
1429549332226,+AC0-1
1429549374088,1
1429549863495,1
1429550014451,1
1429550873083,1
1429551608364,0
1429561482649,1
1429562420916,1
1429562446527,1
1429562610216,0
1429605974434,1
1429606103870,0
1429612257786,+AC0-1
1429614118199,0
1429617594314,1
1429617839071,0
1429617973519,1
1429618155773,1
1429619372020,1
1429619482691,1
1429619548364,+AC0-1
1429619766635,1
1429619832830,1
1429632993559,1
1429635699657,0
1429640369519,0
1429641318635,0
1429644567988,0
1429648552290,+AC0-1
1429653630253,0
1429663427019,0
1429664760595,0
1429674350724,0
1429675675694,0
1429675732248,0
1429676819934,0
1429684036012,1
1429684194824,1
1429684227647,1
1429684316263,1
1429689463113,+AC0-1
1429690671615,1
1429690787800,1
1429699159044,1
1429699172955,1
1429706954475,1
1429707382052,0
1429714157673,0
1429714240532,1
1429715998363,0
1429718087528,0
1429718500206,0
1429719018702,0
1429720399934,1
1429721640611,0
1429724000711,1
1429724048314,1
1429724055212,1
1429724174168,1
1429724777546,+AC0-1
1429724954348,0
1429725856022,1
1429726273005,1
1429726500418,0
1429726668737,1
1429727022418,1
1429729913323,0
1429732621533,+AC0-1
1429738492155,1
1429738935157,0
1429738946701,0
1429739218547,0
1429750201952,1
1429752897762,+AC0-1
1429760893233,0
1429761743814,0
1429762909679,+AC0-1
1429773904589,1
1429783111774,0
1429791919111,0
1429803726001,+AC0-1
1429808431206,+AC0-1
1429808894173,0
1429808902159,0
1429808911564,0
1429810419949,0
1429814920882,0
1429815042367,+AC0-1
1429816995428,0
1429850276929,1
1429850322516,1
1429855847991,+AC0-1
1429856254773,0
1429856690646,+AC0-1
1429865225119,1
1429865285860,1
1429868236549,0
1429868827918,1
1429871177471,1
1429879536510,0
1429915870827,0
1429923901863,1
1429934813062,0
1429950463566,0
1429951101575,0
1429956621864,0
1429961188357,1
1429962465238,+AC0-1
1429968398850,0
1429975383080,0
1429976546317,+AC0-1
1429976645133,+AC0-1
1429980857485,0
1429982769646,0
1430035612037,+AC0-1
1430050185974,+AC0-1
1430058987020,1
1430059464564,+AC0-1
1430059507462,+AC0-1
1430074146769,0
1430075524592,+AC0-1
1430075564581,+AC0-1
1430077282295,1
1430078025793,0
1430078125533,0
1430078197841,1
1430078241473,1
1430080125781,0
1430080564941,0
1430080716033,0
1430084456858,+AC0-1
1430088869743,0
1430089566055,0
1430119381784,0
1430127066664,0
1430128704901,1
1430134042181,+AC0-1
1430134847700,1
1430134877919,0
1430139691225,0
1430140154610,1
1430142540917,0
1430144712040,1
1430148732744,+AC0-1
1430158322754,+AC0-1
1430158849276,+AC0-1
1430159627156,1
1430159637477,+AC0-1
1430161785708,+AC0-1
1430164777731,0
1430164827841,1
1430164877995,0
1430165062962,0
1430165853030,0
1430166967831,+AC0-1
1430167993320,0
1430170993868,0
1430173935153,+AC0-1
1430174249635,0
1430210301188,+AC0-1
1430210354935,+AC0-1
1430226857093,0
1430227475150,0
1430229814243,0
1430231416200,+AC0-1
1430231513521,+AC0-1
1430236823364,1
1430242583391,1
1430252215918,1
1430257000548,1
1430270101776,+AC0-1
1430274416362,+AC0-1
1430292046779,+AC0-1
1430304667705,0
1430319970477,0
1430322819779,0
1430326112757,0
1430326986512,+AC0-1
1430328940635,0
1430331086662,1
1430331514201,1
1430331811473,1
1430331849074,1
1430337494111,1
1430338331330,0
1430338472836,0
1430369139489,+AC0-1
1430369205594,0
1430373023717,+AC0-1
