56,81,56
56,81,56
65,64,73
56,56,56
58,61,58
73,70,70
37,62,37
68,60,60
81,87,81
68,87,75
68,81,75
56,66,50
0,0,0
18,81,93
12,6,12
0,0,0
45,80,68
30,76,66
87,25,81
25,12,12
23,25,21
87,100,100
87,50,37
6,0,0
52,73,72
72,56,66
41,69,54
58,61,78
52,54,60
42,61,70
100,50,50
100,87,75
62,50,62
58,80,55
56,81,81
0,0,0
87,62,62
58,77,74
55,53,58
72,65,70
69,68,88
73,55,76
68,62,93
51,66,60
51,85,65
55,61,66
31,62,56
53,57,58
84,82,86
75,43,50
93,50,93
18,12,16
37,62,56
65,63,58
55,66,65
75,50,56
0,0,0
56,75,93
50,50,62
0,0,0
12,12,81
68,86,51
70,68,80
63,63,61
62,75,87
0,0,0
0,0,0
87,62,93
75,75,75
100,18,93
37,25,25
68,53,72
58,41,58
25,68,81
75,100,75
0,0,0
86,48,84
43,75,81
43,75,81
65,90,78
86,58,90
28,43,26
45,68,56
56,87,81
69,80,78
68,68,68
74,62,66
87,100,100
58,73,81
55,43,43
100,68,81
93,81,87
6,12,12
85,62,68
31,62,12
81,68,68
76,40,61
87,81,93
87,81,93
45,74,92
56,69,76
56,76,61
40,81,88
53,71,58
45,73,70
31,33,33
82,65,78
80,57,73
58,73,68
51,65,61
6,0,0
63,70,70
68,87,75
48,50,61
87,81,93
63,50,56
0,0,0
62,43,75
54,58,56
70,77,78
57,62,72
14,13,17
43,12,68
48,74,82
0,12,12
5,0,0
56,68,75
25,87,75
37,62,81
81,18,31
0,0,0
50,12,56
40,35,31
100,62,62
62,87,81
82,68,48
77,42,56
65,48,75
68,37,62
5,5,0
94,62,61
75,50,37
87,56,62
87,37,75
58,68,85
58,68,85
75,75,56
62,87,68
87,93,81
100,100,100
56,58,71
62,50,75
50,63,66
75,43,81
87,50,87
0,0,0
75,62,81
100,50,75
63,51,68
81,75,68
74,62,81
0,0,0
76,40,60
10,12,9
72,61,68
93,37,56
25,12,25
58,65,68
62,75,50
56,12,50
75,81,81
87,25,100
87,62,62
64,64,58
70,92,77
87,93,75
53,85,84
87,87,93
55,56,55
0,0,0
66,84,70
87,43,81
62,81,93
16,21,8
41,80,68
81,50,37
43,75,87
87,12,87
70,56,65
50,18,56
81,37,87
43,68,71
68,66,70
68,62,87
33,84,69
0,0,0
68,68,68
2,2,0
12,12,6
75,56,68
78,46,76
87,93,87
68,75,87
61,64,78
4,5,0
50,12,81
0,0,0
65,55,53
77,66,78
66,76,80
36,76,45
37,87,68
1,3,0
62,75,75
93,87,100
0,6,0
0,0,0
93,12,62
0,0,0
56,18,25
56,62,81
71,56,66
44,32,68
43,68,93
68,50,87
62,0,87
87,100,87
37,25,31
75,25,81
87,68,62
81,68,100
81,62,62
56,81,87
100,50,56
75,37,87
73,51,78
66,42,50
78,41,50
50,81,75
62,81,81
37,18,50
81,50,75
87,37,68
93,68,87
68,56,81
50,62,93
88,36,53
6,0,0
25,18,56
68,75,81
75,18,62
81,50,60
37,37,37
81,50,68
45,78,61
31,75,68
81,31,75
96,38,72
55,63,56
41,58,73
68,75,81
87,56,87
81,43,81
87,75,62
68,50,37
60,48,68
12,18,12
46,50,92
68,62,75
53,68,69
68,56,75
87,50,87
62,25,93
68,25,62
56,18,75
56,75,87
74,61,72
87,81,68
55,38,60
37,37,62
100,81,68
68,48,70
48,78,63
50,6,87
93,81,100
61,66,55
87,50,56
83,55,70
50,73,58
56,37,87
0,0,0
62,25,56
5,2,0
81,75,87
62,54,80
62,75,68
75,38,53
61,61,62
2,5,0
100,56,68
62,50,81
81,43,62
66,90,75
70,68,55
50,25,56
81,62,43
0,0,0
0,0,0
93,62,37
43,75,62
68,18,56
41,86,63
0,0,0
0,0,0
0,0,0
64,48,72
